17.8459 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026A5B9BF220>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026A5B9BF1C0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026A5B9BCFD0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000026A5BCCD610>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
18.4875 	EXP 	instruction_text_component_start_task: height = 0.05
18.4875 	EXP 	instruction_text_component_start_task: height = 0.05
18.4875 	EXP 	instruction_text_component_start_task: text = "The training is over. Let's now do the reak task.\n\nThis consists of 4 rounds. Each round lasts about 2 minutes.\n\nPress the space bar to start."
18.4875 	EXP 	instruction_text_component_start_task: autoDraw = True
19.7753 	EXP 	Imported category_switch_task_scenario.csv as conditions, 7 conditions, 14 params
19.7755 	EXP 	Created sequence: sequential, trialTypes=7, nReps=1, seed=None
19.7756 	EXP 	New trial (rep=0, index=0): OrderedDict([('block', 'practice'), ('block_n', 1), ('block_type', 'living'), ('trial', 1), ('instruction', 'living'), ('word_fr', 'éléphant'), ('word_eng', 'elephant'), ('trial_type', 'undefined'), ('stimulus', 'images/heart.png'), ('correct_resp', 'k'), ('iti', 0.539), ('soa', 0.538), ('iti_60hz', 32), ('soa_60hz', 32)])
19.7789 	EXP 	Imported category_switch_task_scenario.csv as conditions, 1 conditions, 14 params
19.7791 	EXP 	Created sequence: sequential, trialTypes=1, nReps=1, seed=None
19.7792 	EXP 	New trial (rep=0, index=0): OrderedDict([('block', 'test'), ('block_n', 1), ('block_type', 'both'), ('trial', 48), ('instruction', 'living'), ('word_fr', 'cheval'), ('word_eng', 'horse'), ('trial_type', 'switch'), ('stimulus', 'images/heart.png'), ('correct_resp', 'k'), ('iti', 0.59), ('soa', 0.403), ('iti_60hz', 35), ('soa_60hz', 24)])
19.7887 	DATA 	Keypress: space
19.7905 	EXP 	instruction_text_component_start_task: autoDraw = False
19.7905 	EXP 	ITI: text = ''
19.7905 	EXP 	instruction_text_component: text = ''
19.7905 	EXP 	stimulus_image: image = 'images/heart.png'
19.7905 	EXP 	instruction_text_component: height = 0.1
19.7905 	EXP 	instruction_text_component: height = 0.1
19.7905 	EXP 	instruction_text_component: height = 0.1
19.7905 	EXP 	instruction_text_component: text = 'horse'
19.7905 	EXP 	ITI: autoDraw = True
20.3711 	EXP 	ITI: autoDraw = False
20.3711 	EXP 	stimulus_image: autoDraw = True
20.7710 	EXP 	instruction_text_component: autoDraw = True
23.4073 	DATA 	Keypress: k
23.4208 	EXP 	ITI: autoDraw = False
23.4208 	EXP 	instruction_text_component: autoDraw = False
23.4208 	EXP 	stimulus_image: autoDraw = False
23.4208 	EXP 	feedback_text_test: text = ''
23.4208 	EXP 	feedback_text_test: autoDraw = True
23.4208 	EXP 	feedback_text_test: height = 0.2
23.4208 	EXP 	feedback_text_test: height = 0.2
23.4208 	EXP 	feedback_text_test: height = 0.2
23.4208 	EXP 	feedback_text_test: text = ''
23.9210 	EXP 	feedback_text_test: autoDraw = False
23.9210 	EXP 	feedback_text_test: autoDraw = False
23.9210 	EXP 	instruction_text_component_pause: text = ''
23.9210 	EXP 	instruction_text_component_pause: height = 0.05
23.9210 	EXP 	instruction_text_component_pause: height = 0.05
23.9210 	EXP 	instruction_text_component_pause: height = 0.05
23.9210 	EXP 	instruction_text_component_pause: text = 'Pause\n\nPress the space bar when you are ready to continue'
23.9210 	EXP 	instruction_text_component_pause: autoDraw = True
24.7383 	EXP 	New trial (rep=0, index=1): OrderedDict([('block', 'practice'), ('block_n', 2), ('block_type', 'size'), ('trial', 12), ('instruction', 'size'), ('word_fr', 'frelon'), ('word_eng', 'hornet'), ('trial_type', 'undefined'), ('stimulus', 'images/arrowcross.png'), ('correct_resp', 'd'), ('iti', 0.593), ('soa', 0.571), ('iti_60hz', 36), ('soa_60hz', 34)])
24.7420 	EXP 	Imported category_switch_task_scenario.csv as conditions, 1 conditions, 14 params
24.7421 	EXP 	Created sequence: sequential, trialTypes=1, nReps=1, seed=None
24.7423 	EXP 	New trial (rep=0, index=0): OrderedDict([('block', 'test'), ('block_n', 2), ('block_type', 'both'), ('trial', 1), ('instruction', 'living'), ('word_fr', 'bouteille'), ('word_eng', 'bottle'), ('trial_type', 'switch'), ('stimulus', 'images/heart.png'), ('correct_resp', 'd'), ('iti', 0.52), ('soa', 0.479), ('iti_60hz', 31), ('soa_60hz', 29)])
24.7481 	DATA 	Keypress: space
24.7542 	EXP 	instruction_text_component_pause: autoDraw = False
24.7542 	EXP 	ITI: text = ''
24.7542 	EXP 	instruction_text_component: height = 0.1
24.7542 	EXP 	instruction_text_component: height = 0.1
24.7542 	EXP 	instruction_text_component: height = 0.1
24.7542 	EXP 	instruction_text_component: text = ''
24.7542 	EXP 	stimulus_image: image = 'images/heart.png'
24.7542 	EXP 	instruction_text_component: height = 0.1
24.7542 	EXP 	instruction_text_component: height = 0.1
24.7542 	EXP 	instruction_text_component: height = 0.1
24.7542 	EXP 	instruction_text_component: text = 'bottle'
24.7542 	EXP 	ITI: autoDraw = True
25.2710 	EXP 	ITI: autoDraw = False
25.2710 	EXP 	stimulus_image: autoDraw = True
25.7542 	EXP 	instruction_text_component: autoDraw = True
30.6729 	DATA 	Keypress: space
31.1565 	DATA 	Keypress: k
31.1709 	EXP 	ITI: autoDraw = False
31.1709 	EXP 	instruction_text_component: autoDraw = False
31.1709 	EXP 	stimulus_image: autoDraw = False
31.1709 	EXP 	feedback_text_test: text = ''
31.1709 	EXP 	feedback_text_test: autoDraw = True
31.6708 	EXP 	feedback_text_test: autoDraw = False
31.6708 	EXP 	feedback_text_test: autoDraw = False
31.6708 	EXP 	instruction_text_component_pause: height = 0.05
31.6708 	EXP 	instruction_text_component_pause: height = 0.05
31.6708 	EXP 	instruction_text_component_pause: height = 0.05
31.6708 	EXP 	instruction_text_component_pause: text = ''
31.6708 	EXP 	instruction_text_component_pause: height = 0.05
31.6708 	EXP 	instruction_text_component_pause: height = 0.05
31.6708 	EXP 	instruction_text_component_pause: height = 0.05
31.6708 	EXP 	instruction_text_component_pause: text = 'Pause\n\nPress the space bar when you are ready to continue'
31.6708 	EXP 	instruction_text_component_pause: autoDraw = True
31.6717 	EXP 	New trial (rep=0, index=2): OrderedDict([('block', 'practice'), ('block_n', 3), ('block_type', 'both'), ('trial', 1), ('instruction', 'living'), ('word_fr', 'table'), ('word_eng', 'table'), ('trial_type', 'switch'), ('stimulus', 'images/heart.png'), ('correct_resp', 'd'), ('iti', 0.517), ('soa', 0.439), ('iti_60hz', 31), ('soa_60hz', 26)])
31.6754 	EXP 	Imported category_switch_task_scenario.csv as conditions, 1 conditions, 14 params
31.6756 	EXP 	Created sequence: sequential, trialTypes=1, nReps=1, seed=None
31.6757 	EXP 	New trial (rep=0, index=0): OrderedDict([('block', 'test'), ('block_n', 3), ('block_type', 'both'), ('trial', 48), ('instruction', 'living'), ('word_fr', 'clé'), ('word_eng', 'key'), ('trial_type', 'repeat'), ('stimulus', 'images/heart.png'), ('correct_resp', 'd'), ('iti', 0.629), ('soa', 0.547), ('iti_60hz', 38), ('soa_60hz', 33)])
31.6883 	EXP 	instruction_text_component_pause: autoDraw = False
31.6883 	EXP 	ITI: text = ''
31.6883 	EXP 	instruction_text_component: height = 0.1
31.6883 	EXP 	instruction_text_component: height = 0.1
31.6883 	EXP 	instruction_text_component: height = 0.1
31.6883 	EXP 	instruction_text_component: text = ''
31.6883 	EXP 	stimulus_image: image = 'images/heart.png'
31.6883 	EXP 	instruction_text_component: height = 0.1
31.6883 	EXP 	instruction_text_component: height = 0.1
31.6883 	EXP 	instruction_text_component: height = 0.1
31.6883 	EXP 	instruction_text_component: text = 'key'
31.6883 	EXP 	ITI: autoDraw = True
32.3210 	EXP 	ITI: autoDraw = False
32.3210 	EXP 	stimulus_image: autoDraw = True
32.8709 	EXP 	instruction_text_component: autoDraw = True
38.5901 	DATA 	Keypress: k
38.6208 	EXP 	ITI: autoDraw = False
38.6208 	EXP 	instruction_text_component: autoDraw = False
38.6208 	EXP 	stimulus_image: autoDraw = False
38.6208 	EXP 	feedback_text_test: text = ''
38.6208 	EXP 	feedback_text_test: autoDraw = True
39.1210 	EXP 	feedback_text_test: autoDraw = False
39.1210 	EXP 	feedback_text_test: autoDraw = False
39.1210 	EXP 	instruction_text_component_pause: height = 0.05
39.1210 	EXP 	instruction_text_component_pause: height = 0.05
39.1210 	EXP 	instruction_text_component_pause: height = 0.05
39.1210 	EXP 	instruction_text_component_pause: text = ''
39.1210 	EXP 	instruction_text_component_pause: height = 0.05
39.1210 	EXP 	instruction_text_component_pause: height = 0.05
39.1210 	EXP 	instruction_text_component_pause: height = 0.05
39.1210 	EXP 	instruction_text_component_pause: text = 'Pause\n\nPress the space bar when you are ready to continue'
39.1210 	EXP 	instruction_text_component_pause: autoDraw = True
40.9384 	EXP 	New trial (rep=0, index=3): OrderedDict([('block', 'test'), ('block_n', 1), ('block_type', 'both'), ('trial', 48), ('instruction', 'living'), ('word_fr', 'cheval'), ('word_eng', 'horse'), ('trial_type', 'switch'), ('stimulus', 'images/heart.png'), ('correct_resp', 'k'), ('iti', 0.59), ('soa', 0.403), ('iti_60hz', 35), ('soa_60hz', 24)])
40.9419 	EXP 	Imported category_switch_task_scenario.csv as conditions, 1 conditions, 14 params
40.9421 	EXP 	Created sequence: sequential, trialTypes=1, nReps=1, seed=None
40.9422 	EXP 	New trial (rep=0, index=0): OrderedDict([('block', 'test'), ('block_n', 4), ('block_type', 'both'), ('trial', 1), ('instruction', 'size'), ('word_fr', 'cerf'), ('word_eng', 'deer'), ('trial_type', 'switch'), ('stimulus', 'images/arrowcross.png'), ('correct_resp', 'k'), ('iti', 0.678), ('soa', 0.534), ('iti_60hz', 41), ('soa_60hz', 32)])
40.9498 	DATA 	Keypress: space
40.9541 	EXP 	instruction_text_component_pause: autoDraw = False
40.9541 	EXP 	ITI: text = ''
40.9541 	EXP 	instruction_text_component: height = 0.1
40.9541 	EXP 	instruction_text_component: height = 0.1
40.9541 	EXP 	instruction_text_component: height = 0.1
40.9541 	EXP 	instruction_text_component: text = ''
40.9541 	EXP 	stimulus_image: image = 'images/arrowcross.png'
40.9541 	EXP 	instruction_text_component: height = 0.1
40.9541 	EXP 	instruction_text_component: height = 0.1
40.9541 	EXP 	instruction_text_component: height = 0.1
40.9541 	EXP 	instruction_text_component: text = 'deer'
40.9541 	EXP 	ITI: autoDraw = True
41.6376 	EXP 	ITI: autoDraw = False
41.6376 	EXP 	stimulus_image: autoDraw = True
42.1710 	EXP 	instruction_text_component: autoDraw = True
44.2564 	DATA 	Keypress: k
44.2708 	EXP 	ITI: autoDraw = False
44.2708 	EXP 	instruction_text_component: autoDraw = False
44.2708 	EXP 	stimulus_image: autoDraw = False
44.2708 	EXP 	feedback_text_test: text = ''
44.2708 	EXP 	feedback_text_test: autoDraw = True
44.7710 	EXP 	feedback_text_test: autoDraw = False
44.7710 	EXP 	feedback_text_test: autoDraw = False
44.7710 	EXP 	instruction_text_component_pause: height = 0.05
44.7710 	EXP 	instruction_text_component_pause: height = 0.05
44.7710 	EXP 	instruction_text_component_pause: height = 0.05
44.7710 	EXP 	instruction_text_component_pause: text = ''
44.7710 	EXP 	instruction_text_component_pause: height = 0.05
44.7710 	EXP 	instruction_text_component_pause: height = 0.05
44.7710 	EXP 	instruction_text_component_pause: height = 0.05
44.7710 	EXP 	instruction_text_component_pause: text = 'Pause\n\nPress the space bar when you are ready to continue'
44.7710 	EXP 	instruction_text_component_pause: autoDraw = True
46.0765 	DATA 	Keypress: space
46.0874 	EXP 	instruction_text_component_pause: autoDraw = False
46.0874 	EXP 	InstructionsText4: height = 0.05
46.0874 	EXP 	InstructionsText4: height = 0.05
46.0874 	EXP 	InstructionsText4: height = 0.05
46.0874 	EXP 	InstructionsText4: text = 'This task is now over.\n\nThank you!\n\nPress the space bar to continue'
46.0874 	EXP 	InstructionsText4: autoDraw = True
46.7722 	DATA 	Keypress: space
46.7876 	EXP 	InstructionsText4: autoDraw = False
46.7876 	EXP 	CategorySwitch: status = STOPPED
47.5667 	EXP 	window1: mouseVisible = True
